idx,latitude,longitude,date,filename,ai,find 
1,37.123199462890625,127.12300109863281,2023-09-06,p1.jpg,1,4
2,37.345699310302734,127.5790023803711,2023-09-06,p2.jpg,1,3
3,37.345699310302734,127.12300109863281,2023-09-06,p3.jpg,1,6
4,37.23460006713867,127.5790023803711,2023-09-06,p4.jpg,1,4
5,37.23460006713867,127.34600067138672,2023-09-06,p5.jpg,0,0
6,37.23460006713867,127.34600067138672,2023-09-06,p6.jpg,1,1
7,37.567901611328125,127.45700073242188,2023-09-06,p7.jpg,1,1
8,37.4567985534668,127.45500183105469,2023-09-08,p8.jpeg,1,2
9,37.345699310302734,127.12300109863281,2023-09-08,p9.jpg,1,3
10,37.345699310302734,127.5790023803711,2023-09-13,pothole(2).jpg,1,3
11,37.345699310302734,127.5790023803711,2023-09-13,pothole(3).jpg,1,4
12,37.567901611328125,127.23500061035156,2023-09-13,pothole(4).jpg,1,3
13,37.4567985534668,127.34600067138672,2023-09-13,pothole(5).jpg,1,1
14,37.12300109863281,127.45700073242188,2023-09-13,pothole(6).jpg,1,2
15,37.23460006713867,127.12300109863281,2023-09-13,pothole(7).jpg,1,1
16,37.567901611328125,127.5790023803711,2023-09-13,pothole(8).jpg,1,1
17,37.345699310302734,127.34600067138672,2023-09-13,pothole1234.jpg,1,4
18,37.123199462890625,127.23500061035156,2023-09-14,pothole123353654.jpg,1,4
19,37.123199462890625,127.23500061035156,2023-09-18,pothole(4).jpg,1,3
20,37.123199462890625,127.23500061035156,2023-09-18,pothole(5).jpg,1,1
21,37.123199462890625,127.23500061035156,2023-09-18,pothole(6).jpg,1,2
22,37.123199462890625,127.23500061035156,2023-09-18,pothole(2).jpg,1,3
23,37.123199462890625,127.23500061035156,2023-09-18,pothole(3).jpg,1,4
24,37.123199462890625,127.23500061035156,2023-09-18,pothole(4).jpg,1,3
25,37.123199462890625,127.23500061035156,2023-09-18,pothole(5).jpg,1,1
26,37.123199462890625,127.23500061035156,2023-09-18,pothole(6).jpg,1,2
27,37.123199462890625,127.23500061035156,2023-09-18,pothole123353654.jpg,1,4
28,37.123199462890625,127.23500061035156,2023-09-18,pothole(7).jpg,1,1
29,37.123199462890625,127.23500061035156,2023-09-18,pothole(8).jpg,1,1
30,37.123199462890625,127.23500061035156,2023-09-18,pothole123353654.jpg,1,4
31,37.123199462890625,127.23500061035156,2023-09-18,pothole(2).jpg,1,3
32,37.123199462890625,127.23500061035156,2023-09-18,pothole(3).jpg,1,4
33,37.123199462890625,127.23500061035156,2023-09-18,pothole(4).jpg,1,3
34,37.123199462890625,127.23500061035156,2023-09-18,pothole(5).jpg,1,1
35,37.123199462890625,127.23500061035156,2023-09-18,pothole(6).jpg,1,2
36,37.123199462890625,127.23500061035156,2023-09-18,pothole(1).jpeg,1,2
37,37.123199462890625,127.23500061035156,2023-09-18,pothole(2).jpg,1,3
38,37.123199462890625,127.23500061035156,2023-09-18,pothole(3).jpg,1,4
39,37.123199462890625,127.23500061035156,2023-09-18,pothole(4).jpg,1,3
40,37.123199462890625,127.23500061035156,2023-09-18,pothole(5).jpg,1,1
41,37.123199462890625,127.23500061035156,2023-09-18,pothole(6).jpg,1,2
42,37.123199462890625,127.23500061035156,2023-09-18,pothole(7).jpg,1,1
43,37.123199462890625,127.23500061035156,2023-09-18,pothole(8).jpg,1,1
44,37.123199462890625,127.23500061035156,2023-09-18,pothole123353654.jpg,1,4
45,37.123199462890625,127.23500061035156,2023-09-18,KakaoTalk_20230919_172637722.jpg,0,0
46,37.123199462890625,127.23500061035156,2023-09-18,KakaoTalk_20230919_172637722.jpg,1,2
47,37.123199462890625,127.23500061035156,2023-09-18,pothole(1).jpeg,1,3
48,37.123199462890625,127.23500061035156,2023-09-18,pothole(2).jpg,1,4
49,37.123199462890625,127.23500061035156,2023-09-18,pothole(3).jpg,1,3
50,37.123199462890625,127.23500061035156,2023-09-18,pothole(4).jpg,1,1
51,37.123199462890625,127.23500061035156,2023-09-18,pothole(5).jpg,1,2
52,37.123199462890625,127.23500061035156,2023-09-18,pothole(6).jpg,1,1
53,37.123199462890625,127.23500061035156,2023-09-18,pothole(7).jpg,1,1
54,37.123199462890625,127.23500061035156,2023-09-18,pothole(8).jpg,1,4
55,37.123199462890625,127.23500061035156,2023-09-18,pothole123353654.jpg,0,0
56,37.123199462890625,127.23500061035156,2023-09-19,KakaoTalk_20230919_172637722.jpg,1,2
57,37.123199462890625,127.23500061035156,2023-09-19,pothole(1).jpeg,1,3
58,37.123199462890625,127.23500061035156,2023-09-19,pothole(2).jpg,1,4
59,37.123199462890625,127.23500061035156,2023-09-19,pothole(3).jpg,1,3
60,37.123199462890625,127.23500061035156,2023-09-19,pothole(4).jpg,1,1
61,37.123199462890625,127.23500061035156,2023-09-19,pothole(5).jpg,1,2
62,37.123199462890625,127.23500061035156,2023-09-19,pothole(6).jpg,1,1
63,37.123199462890625,127.23500061035156,2023-09-19,pothole(7).jpg,1,1
64,37.123199462890625,127.23500061035156,2023-09-19,pothole(8).jpg,1,4
65,37.123199462890625,127.23500061035156,2023-09-19,pothole123353654.jpg,0,0
66,37.123199462890625,127.23500061035156,2023-09-20,KakaoTalk_20230919_172637722.jpg,0,0
67,37.123199462890625,127.23500061035156,2023-09-20,pothole(1).jpeg,0,0
68,37.123199462890625,127.23500061035156,2023-09-20,pothole(2).jpg,0,0
69,37.123199462890625,127.23500061035156,2023-09-20,pothole(3).jpg,0,0
70,37.123199462890625,127.23500061035156,2023-09-20,pothole(4).jpg,0,0
71,37.123199462890625,127.23500061035156,2023-09-20,pothole(5).jpg,0,0
72,37.123199462890625,127.23500061035156,2023-09-20,pothole(6).jpg,0,0
73,37.123199462890625,127.23500061035156,2023-09-20,pothole(7).jpg,0,0
74,37.123199462890625,127.23500061035156,2023-09-20,pothole(8).jpg,0,0
75,37.123199462890625,127.23500061035156,2023-09-20,pothole123353654.jpg,0,0
76,37.123199462890625,127.23500061035156,2023-09-20,KakaoTalk_20230919_172637722.jpg,0,0
77,37.123199462890625,127.23500061035156,2023-09-20,pothole(1).jpeg,0,0
78,37.123199462890625,127.23500061035156,2023-09-20,pothole(2).jpg,0,0
79,37.123199462890625,127.23500061035156,2023-09-20,pothole(3).jpg,0,0
80,37.123199462890625,127.23500061035156,2023-09-20,pothole(4).jpg,0,0
81,37.123199462890625,127.23500061035156,2023-09-20,pothole(5).jpg,0,0
82,37.123199462890625,127.23500061035156,2023-09-20,pothole(6).jpg,0,0
83,37.123199462890625,127.23500061035156,2023-09-20,pothole(7).jpg,0,0
84,37.123199462890625,127.23500061035156,2023-09-20,pothole(8).jpg,0,0
